Organisation Name,Meeting Date,Sequence Identifier,Proposal Text,Recommendation
Mckesson Corporation,21/07/2023,1a.,Elect Richard H. Carmona,For
Mckesson Corporation,21/07/2023,1b.,Elect Dominic J. Caruso,For
Mckesson Corporation,21/07/2023,1c.,Elect W. Roy Dunbar,For
Mckesson Corporation,21/07/2023,1d.,Elect James H. Hinton,For
Mckesson Corporation,21/07/2023,1e.,Elect Donald R. Knauss,For
Mckesson Corporation,21/07/2023,1f.,Elect Bradley E. Lerman,For
Mckesson Corporation,21/07/2023,1g.,Elect Linda P. Mantia,For
Mckesson Corporation,21/07/2023,1h.,Elect Maria Martinez,For
Mckesson Corporation,21/07/2023,1i.,Elect Susan R. Salka,For
Mckesson Corporation,21/07/2023,1j.,Elect Brian S. Tyler,For
Mckesson Corporation,21/07/2023,1k.,Elect Kathleen Wilson-Thompson,For
Mckesson Corporation,21/07/2023,2.,Ratification of Auditor,For
Mckesson Corporation,21/07/2023,3.,Advisory Vote on Executive Compensation,For
Mckesson Corporation,21/07/2023,5.,Shareholder Proposal Regarding Severance Approval Policy,Against
United Utilities Group PLC,21/07/2023,1,Accounts and Reports,For
United Utilities Group PLC,21/07/2023,10,Elect Michael Lewis,For
United Utilities Group PLC,21/07/2023,11,Elect Paulette Rowe,For
United Utilities Group PLC,21/07/2023,12,Elect Doug Webb,For
United Utilities Group PLC,21/07/2023,13,Appointment of Auditor,For
United Utilities Group PLC,21/07/2023,14,Authority to Set Auditor's Fees,For
United Utilities Group PLC,21/07/2023,15,Authority to Issue Shares w/ Preemptive Rights,For
United Utilities Group PLC,21/07/2023,16,Authority to Issue Shares w/o Preemptive Rights,For
United Utilities Group PLC,21/07/2023,17,Authority to Issue Shares w/o Preemptive Rights (Specified Capital Investment),For
United Utilities Group PLC,21/07/2023,18,Authority to Repurchase Shares,For
United Utilities Group PLC,21/07/2023,19,Authority to Set General Meeting Notice Period at 14 Days,For
United Utilities Group PLC,21/07/2023,2,Final Dividend,For
United Utilities Group PLC,21/07/2023,20,Authorisation of Political Donations,For
